modzcta,month,total_requests,noise_total,illegal_parking,heat_hot_water,sanitation,rodent,homeless_assistance,animal_abuse,taxi_complaint,food_establishment,street_light_condition,missed_collection,type__Abandoned_Vehicle,type__Blocked_Driveway,type__HEAT_HOT_WATER,type__Illegal_Parking,type__Noise,type__Noise_-_Commercial,type__Noise_-_Residential,type__Noise_-_Street_Sidewalk,type__Noise_-_Vehicle,type__PAINT_PLASTER,type__PLUMBING,type__Request_Large_Bulky_Item_Collection,type__Street_Condition,type__UNSANITARY_CONDITION,type__Water_System,Health,Homeless,NYPD,Other,Sanitation,Transportation
10121,2020-01,33,1,0,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,27,2,0
10123,2020-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,0,0
10128,2020-01,669,167,18,58,31,6,5,0,10,3,0,0,3,6,58,18,38,11,99,9,10,3,9,64,33,18,23,22,5,171,300,90,81
10151,2020-01,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
10152,2020-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10154,2020-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10155,2020-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10165,2020-01,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0
10166,2020-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10168,2020-01,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0
10169,2020-01,18,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,0,0
10170,2020-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
10171,2020-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10172,2020-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10173,2020-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
10174,2020-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10177,2020-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10178,2020-01,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
10271,2020-01,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
10278,2020-01,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
10279,2020-01,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,1
10280,2020-01,55,16,6,0,0,0,0,0,2,0,2,0,0,0,0,6,8,0,4,0,4,0,0,2,5,0,0,6,0,14,20,2,13
10281,2020-01,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
10282,2020-01,35,17,9,0,0,0,0,0,0,1,0,0,0,0,0,9,10,0,2,0,5,0,0,0,0,0,0,1,0,16,16,0,2
10301,2020-01,1050,118,70,68,59,7,3,0,0,5,49,0,40,31,68,70,24,14,74,6,0,10,3,119,49,12,25,24,3,251,261,351,160
10302,2020-01,415,28,31,9,15,0,0,0,0,4,11,0,9,22,9,31,12,0,14,0,2,1,6,42,34,4,8,9,0,83,102,160,61
10303,2020-01,500,27,39,26,42,2,3,0,0,2,10,0,32,36,26,39,7,0,17,1,2,2,2,63,14,7,3,8,3,138,95,218,38
10304,2020-01,918,123,60,43,34,7,0,0,0,1,38,0,38,26,43,60,9,3,79,17,15,6,3,110,48,8,28,14,0,254,214,317,119
10305,2020-01,843,34,91,18,48,6,0,0,1,2,30,0,34,31,18,91,7,0,21,4,1,1,1,122,61,9,22,17,0,209,163,322,132
10306,2020-01,1142,66,56,28,66,9,2,0,0,4,58,0,32,21,28,56,24,7,33,1,1,0,1,211,104,4,27,19,2,168,242,498,213
10307,2020-01,223,13,19,3,7,0,0,0,0,0,6,0,8,2,3,19,5,2,5,0,1,0,0,61,11,4,3,5,0,39,38,115,26
10308,2020-01,558,15,43,1,17,0,0,0,0,0,23,0,6,9,1,43,5,0,3,5,2,0,1,133,60,0,29,2,0,79,103,266,108
10309,2020-01,836,16,87,6,105,3,0,0,0,2,32,0,16,10,6,87,9,0,5,2,0,0,1,155,59,3,25,10,0,131,134,439,122
10310,2020-01,758,63,35,11,22,6,2,0,0,1,28,0,48,34,11,35,9,7,43,2,2,0,1,95,65,2,21,8,2,189,107,336,116
10312,2020-01,1363,70,160,1,118,5,0,0,0,2,40,0,20,18,1,160,12,6,46,2,4,0,1,205,84,0,59,15,0,272,254,618,204
10314,2020-01,1888,111,153,22,92,23,1,0,1,28,59,0,58,58,22,153,16,21,66,3,5,1,5,333,113,10,37,73,1,387,291,881,255
10451,2020-01,1154,314,59,341,43,20,11,0,0,6,4,0,4,40,341,59,24,26,205,47,12,11,21,9,32,28,12,38,11,418,574,58,55
10452,2020-01,1832,458,71,618,101,14,4,0,0,2,14,0,4,49,618,71,10,47,342,28,31,26,49,16,38,85,17,29,4,596,1051,73,79
